threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.49,0.9611905373398396,0.963930502249185,0.9796166589774776,0.9717102799850231,0.07803571428571429,0.020383341022522334,10326,874,486,23357,0.8729412622066755,0.8193958489805638,0.9867201976528721,0.8953072927612814,0.2664594594594595,0.013279802347127856,27141,9859,602,44730
0.5,0.9610763918614273,0.9650378584136704,0.9782326049574298,0.9715904357244022,0.07544642857142857,0.021767395042570147,10355,845,519,23324,0.8753218675606083,0.8226094316362766,0.9862348892614489,0.8970214985804718,0.26056756756756755,0.013765110738551134,27359,9641,624,44708
0.51,0.9608481009046029,0.965643002196527,0.9772260202155769,0.9713999833236054,0.07401785714285715,0.022773979784423103,10371,829,543,23300,0.8776660350774911,0.8259382510630431,0.9855069266743139,0.8986944539437951,0.25445945945945947,0.01449307332568605,27585,9415,657,44675
0.52,0.9607910281653967,0.9666071354404618,0.9760936123809923,0.9713272120200334,0.07178571428571429,0.023906387619007676,10396,804,570,23273,0.880010202594374,0.8291645776465564,0.9850216182828907,0.9003982457024752,0.24864864864864866,0.014978381717109327,27800,9200,679,44653
0.53,0.9603059098821448,0.9673216218466406,0.9745837352682128,0.97093909955082,0.07008928571428572,0.025416264731787108,10415,785,606,23237,0.8821843268716902,0.8324252714856141,0.9841392393893938,0.9019469098113742,0.24272972972972973,0.015860760610606196,28019,8981,719,44613
0.54,0.9602488371429386,0.9680984153461217,0.973661032588181,0.9708717562679046,0.06830357142857142,0.026338967411818983,10435,765,628,23215,0.8843948889860564,0.8357898289828983,0.9832127415512221,0.9035272653557673,0.23667567567567568,0.016787258448777907,28243,8757,761,44571
0.55,0.9600205461861142,0.9692622950819673,0.9720672734135805,0.9706627578264057,0.065625,0.027932726586419494,10465,735,666,23177,0.8867026186658893,0.8393146605345497,0.9822862437130504,0.905189762771126,0.2304054054054054,0.017713756286949617,28475,8525,803,44529
0.56,0.9601346916645265,0.9706449719030446,0.9707671014553537,0.9707060328377614,0.0625,0.029232898544646228,10500,700,697,23146,0.8889010348345722,0.8427453729137856,0.9813376864025413,0.9067764653125286,0.22435135135135134,0.01866231359745875,28699,8301,846,44486
0.57,0.9598493279684959,0.9718600151425928,0.9690475191880217,0.9704517294243652,0.05973214285714286,0.030952480811978357,10531,669,738,23105,0.8906379050672886,0.845743870869499,0.9801464748963205,0.9079985286304001,0.21902702702702703,0.01985352510367952,28896,8104,900,44432
0.58,0.9595354279028622,0.9726027397260274,0.9677892882607054,0.9701900437268752,0.05803571428571429,0.03221071173929455,10550,650,768,23075,0.8923261915172715,0.8485995602714845,0.979131739168799,0.9092045023915114,0.21402702702702703,0.020868260831200917,29081,7919,946,44386
0.59,0.9592500642068316,0.9735096539777769,0.9664052342406576,0.9699444350900825,0.055982142857142855,0.033594765759342365,10573,627,801,23042,0.8941723752611378,0.8515716507613433,0.9783155386923145,0.9105542495200747,0.20891891891891892,0.02168446130768552,29270,7730,983,44349
0.6,0.9587364095539765,0.974171147901935,0.9649372981587887,0.9695322376738306,0.054464285714285715,0.035062701841211255,10590,610,836,23007,0.8962857698100374,0.8550419762617003,0.9773228624371305,0.9121022779910857,0.203,0.022677137562869498,29489,7511,1028,44304
0.61,0.9585081185971521,0.9748059549561013,0.9639307134169358,0.9693378321383382,0.05303571428571428,0.036069286583064214,10606,594,860,22983,0.8980833697711704,0.8582678692658327,0.9760875319862349,0.913393953781209,0.19748648648648648,0.02391246801376511,29693,7307,1084,44248
0.62,0.9581942185315184,0.9756823399370802,0.962546659396888,0.9690699883880503,0.05107142857142857,0.03745334060311203,10628,572,893,22950,0.8996016129815867,0.8610277788600148,0.9750286773140386,0.9144890654418306,0.1928108108108108,0.02497132268596135,29866,7134,1132,44200
