threshold,val_accuracy,val_precision,val_recall,val_f1,val_fpr,val_fnr,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall,test_f1,test_fpr,test_fnr,test_tn,test_fp,test_fn,test_tp
0.49,0.9629597922552293,0.9667508591776738,0.9792391896992828,0.9729549527024212,0.07169642857142858,0.020760810300717192,10397,803,495,23348,0.8702327163192927,0.8173591265479593,0.984249536751081,0.8930744595676541,0.2694594594594595,0.015750463248919086,27030,9970,714,44618
0.5,0.9630739377336415,0.9675305826249222,0.9785681332047141,0.9730180574669502,0.06991071428571428,0.021431866795285828,10417,783,511,23332,0.8720181703347423,0.8199069562179357,0.9836098120532957,0.89432883718598,0.2647027027027027,0.016390187946704316,27206,9794,743,44589
0.51,0.9631310104728477,0.9681933313955903,0.9779390177410561,0.9730417727329633,0.06839285714285714,0.022060982258943925,10434,766,526,23317,0.8741072729922752,0.8227584042533552,0.9831465631342098,0.8958301926613803,0.2594864864864865,0.01685343686579017,27399,9601,764,44568
0.52,0.9628741831464201,0.9687266073359394,0.9769743740301137,0.972833009668191,0.06714285714285714,0.02302562596988634,10448,752,549,23294,0.8757955594422582,0.8253206316257692,0.9823303626577252,0.8970066876158247,0.25472972972972974,0.017669637342274773,27575,9425,801,44531
0.53,0.9629312558856262,0.9695884019330112,0.9761355534119028,0.9728509624427863,0.06517857142857143,0.023864446588097134,10470,730,569,23274,0.877180197250158,0.8274329701387081,0.9816685784876026,0.8979760679621446,0.25083783783783786,0.018331421512397424,27719,9281,831,44501
0.54,0.9629597922552293,0.9702949643289248,0.9754225558864237,0.9728520036810843,0.06357142857142857,0.024577444113576312,10488,712,586,23257,0.8786012728951076,0.8295931501483015,0.9810288537898173,0.8989781582591294,0.2468918918918919,0.018971146210182654,27865,9135,860,44472
0.55,0.9627315012984048,0.9709533163371923,0.9743740301136602,0.9726606656897635,0.06205357142857143,0.025625969886339806,10505,695,611,23232,0.8805567701501239,0.8324405319348193,0.9804111885643696,0.9003869451591338,0.2417837837837838,0.01958881143563046,28054,8946,888,44444
0.56,0.962360528493565,0.9718056137410976,0.9729060940317913,0.9723555425146186,0.06008928571428571,0.0270939059682087,10527,673,646,23197,0.8821964728173736,0.8349280947457468,0.9797494043942468,0.9015599784830554,0.23732432432432432,0.02025059560575311,28219,8781,918,44414
0.57,0.9619895556887252,0.9722653463684807,0.9718575682590278,0.9720614145482004,0.05901785714285714,0.028142431740972192,10539,661,671,23172,0.8835203808968566,0.8370360591430296,0.9790655607517869,0.9024970515271056,0.23354054054054055,0.020934439248213182,28359,8641,949,44383
0.58,0.9619324829495192,0.9729377652645291,0.9710606886717276,0.9719983207388749,0.0575,0.02893931132827245,10556,644,690,23153,0.8850993538356896,0.8394526666414323,0.978447895526339,0.9036365488438424,0.22927027027027028,0.02155210447366099,28517,8483,977,44355
